city,year,weekofyear,total_cases
sj,2008,18,9
sj,2008,19,10
sj,2008,20,10
sj,2008,21,10
sj,2008,22,9
sj,2008,23,9
sj,2008,24,9
sj,2008,25,9
sj,2008,26,9
sj,2008,27,20
sj,2008,28,17
sj,2008,29,18
sj,2008,30,25
sj,2008,31,19
sj,2008,32,32
sj,2008,33,34
sj,2008,34,31
sj,2008,35,43
sj,2008,36,47
sj,2008,37,40
sj,2008,38,39
sj,2008,39,33
sj,2008,40,35
sj,2008,41,63
sj,2008,42,64
sj,2008,43,52
sj,2008,44,59
sj,2008,45,77
sj,2008,46,62
sj,2008,47,89
sj,2008,48,89
sj,2008,49,87
sj,2008,50,71
sj,2008,51,48
sj,2008,52,49
sj,2009,1,46
sj,2009,2,44
sj,2009,3,45
sj,2009,4,45
sj,2009,5,45
sj,2009,6,44
sj,2009,7,43
sj,2009,8,43
sj,2009,9,46
sj,2009,10,44
sj,2009,11,45
sj,2009,12,44
sj,2009,13,44
sj,2009,14,23
sj,2009,15,21
sj,2009,16,21
sj,2009,17,17
sj,2009,18,17
sj,2009,19,19
sj,2009,20,17
sj,2009,21,17
sj,2009,22,17
sj,2009,23,17
sj,2009,24,17
sj,2009,25,18
sj,2009,26,18
sj,2009,27,48
sj,2009,28,47
sj,2009,29,48
sj,2009,30,48
sj,2009,31,49
sj,2009,32,48
sj,2009,33,45
sj,2009,34,46
sj,2009,35,56
sj,2009,36,48
sj,2009,37,46
sj,2009,38,48
sj,2009,39,45
sj,2009,40,55
sj,2009,41,55
sj,2009,42,58
sj,2009,43,52
sj,2009,44,53
sj,2009,45,51
sj,2009,46,51
sj,2009,47,51
sj,2009,48,51
sj,2009,49,51
sj,2009,50,51
sj,2009,51,52
sj,2009,52,51
sj,2010,53,46
sj,2010,1,45
sj,2010,2,45
sj,2010,3,45
sj,2010,4,45
sj,2010,5,43
sj,2010,6,46
sj,2010,7,45
sj,2010,8,47
sj,2010,9,45
sj,2010,10,47
sj,2010,11,46
sj,2010,12,45
sj,2010,13,18
sj,2010,14,17
sj,2010,15,18
sj,2010,16,17
sj,2010,17,20
sj,2010,18,18
sj,2010,19,17
sj,2010,20,18
sj,2010,21,19
sj,2010,22,88
sj,2010,23,57
sj,2010,24,45
sj,2010,25,45
sj,2010,26,64
sj,2010,27,176
sj,2010,28,180
sj,2010,29,52
sj,2010,30,66
sj,2010,31,50
sj,2010,32,123
sj,2010,33,93
sj,2010,34,126
sj,2010,35,123
sj,2010,36,166
sj,2010,37,121
sj,2010,38,47
sj,2010,39,52
sj,2010,40,52
sj,2010,41,114
